Module,Available for New Content,Category,Family,Field Count,Field Names,Field Types,HTML Size KB,HubSpot Module ID,Notes,Review Status,Slug,Source Path,Theme,Used In Emails
List - Support strip - Light,Yes,core,List - Support strip,8,"eyebrow, item_1_label, item_1_value, item_2_label, item_2_value, item_3_label, item_3_value, closing_text",text,2.8,,Built 2026-07-31 to close a blueprint gap. Local only - not yet uploaded to Design Manager.,Not started,list_support_strip_light,core/list_support_strip_light.module,Light,"PP-7b · UGC Photo Request — PP-7 positive +7d (https://app.notion.com/p/PP-7b-UGC-Photo-Request-PP-7-positive-7d-62af4e0d84e08208885801f37e5ed816?pvs=21), PP-1 · Order Confirmation — Day 0 (https://app.notion.com/p/PP-1-Order-Confirmation-Day-0-3b8f4e0d84e081179f67f8744ceeed1d?pvs=21), PP-2 · Prep Guide — Day 1 (https://app.notion.com/p/PP-2-Prep-Guide-Day-1-f3df4e0d84e08273b127816ad46c0ea5?pvs=21), PP-4 · Shipped + Tracking — Fulfilment event (https://app.notion.com/p/PP-4-Shipped-Tracking-Fulfilment-event-4eaf4e0d84e08205b83181ddeb546a42?pvs=21), PP-5 · Maintenance Calendar — Delivery +7d (https://app.notion.com/p/PP-5-Maintenance-Calendar-Delivery-7d-1b7f4e0d84e082228e268153dea45051?pvs=21), C-0 · Consultation Recap — Day 0 (https://app.notion.com/p/C-0-Consultation-Recap-Day-0-7e5150343cdd4111a1e316d127a34ecb?pvs=21)"
List - Questions - Dark,Yes,launch,List - Questions,10,"eyebrow, heading, body_text, question_1, question_2, question_3, question_4, question_5, question_6, closing_text","richtext, text",2.8,,No HubSpot module ID - not yet uploaded to Design Manager,Not started,list_questions_dark,launch/list_questions_dark.module,Dark,
Text - Customer snapshot - Light,Yes,core,Text - Customer snapshot,3,"context, cta_url, cta_label","choice, text, url",11.7,211677071918,,Not started,text_customer_snapshot_light,core/text_customer_snapshot_light.module,Light,"PP-7b · UGC Photo Request — PP-7 positive +7d (https://app.notion.com/p/PP-7b-UGC-Photo-Request-PP-7-positive-7d-62af4e0d84e08208885801f37e5ed816?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268152ae92f7f588c3f74c?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268104a69ff6980f774476?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df112681b8b887c451914a98da?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268155ac1ae3a54c3ccdd7?pvs=21), RO-3 · Replacement Window — Delivery +90d (https://app.notion.com/p/RO-3-Replacement-Window-Delivery-90d-d78f4e0d84e08281869101bb3aabd477?pvs=21), RO-4 · Same Spec Or Change — Delivery +110d (https://app.notion.com/p/RO-4-Same-Spec-Or-Change-Delivery-110d-3b8f4e0d84e0816ab89efefde0786781?pvs=21), C-0 · Consultation Recap — Day 0 (https://app.notion.com/p/C-0-Consultation-Recap-Day-0-7e5150343cdd4111a1e316d127a34ecb?pvs=21)"
Commerce - Shipping tracking - Dark,Yes,core,Commerce - Shipping tracking,11,"eyebrow, heading, label_carrier, value_carrier, label_tracking, value_tracking, label_eta, value_eta, note, button_text, button_url","richtext, text, url",3.7,,Built 2026-07-31 to close a blueprint gap. Local only - not yet uploaded to Design Manager.,Not started,commerce_shipping_tracking_dark,core/commerce_shipping_tracking_dark.module,Dark,
Footer - Standard - Dark,Yes,core,Footer - Standard,6,"company_name, company_address, instagram_url, facebook_url, youtube_url, privacy_url","text, url",1.9,,No HubSpot module ID - not yet uploaded to Design Manager,Not started,footer_standard_dark,core/footer_standard_dark.module,Dark,
Text - Opening - Dark,Yes,launch,Text - Opening,3,"eyebrow, heading, body_text","richtext, text",1.7,,No HubSpot module ID - not yet uploaded to Design Manager,Not started,text_opening_dark,launch/text_opening_dark.module,Dark,
Layout - Plain-text founder wrapper - Light,Yes,core,Layout - Plain-text founder wrapper,5,"greeting, body_text, signature_name, signature_role, ps_text","richtext, text",2,,Built 2026-07-31 to close a blueprint gap. Local only - not yet uploaded to Design Manager.,Not started,layout_founder_wrapper_light,core/layout_founder_wrapper_light.module,Light,"PP-7 · How's It Going — Delivery +35d (https://app.notion.com/p/PP-7-How-s-It-Going-Delivery-35d-fecf4e0d84e08399bb9001a5a59f3f98?pvs=21), WB-1 · Checking In — Day 0 (https://app.notion.com/p/WB-1-Checking-In-Day-0-3e0f4e0d84e083f4b3340152f98b0ecf?pvs=21), WB-4 · Last Email From Us — Day 21 (https://app.notion.com/p/WB-4-Last-Email-From-Us-Day-21-1c0f4e0d84e0839587c7010fc78c07b7?pvs=21), CR-4 · Last Note + Free Shipping — Abandon +4d (https://app.notion.com/p/CR-4-Last-Note-Free-Shipping-Abandon-4d-a88f4e0d84e0832b809f01f94bc2059d?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268152ae92f7f588c3f74c?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268104a69ff6980f774476?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df112681b8b887c451914a98da?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268155ac1ae3a54c3ccdd7?pvs=21), PP-3 · On The Bench — Day 5 (https://app.notion.com/p/PP-3-On-The-Bench-Day-5-7aaf4e0d84e0820c8d23815a05181cc5?pvs=21), CR-1 · Your Cart's Still Here — Abandon +4h (https://app.notion.com/p/CR-1-Your-Cart-s-Still-Here-Abandon-4h-7b6f4e0d84e08326bfbc81b9290d1887?pvs=21), CR-2 · Three Questions Answered — Abandon +1d (https://app.notion.com/p/CR-2-Three-Questions-Answered-Abandon-1d-c7bf4e0d84e08378887b0109a11f71aa?pvs=21), BR-1 · Base Types Explainer — Browse +1d (https://app.notion.com/p/BR-1-Base-Types-Explainer-Browse-1d-b4df4e0d84e0831c928d01b7afba6e95?pvs=21), CR-3 · Not Sure You Picked Right — Abandon +2d (https://app.notion.com/p/CR-3-Not-Sure-You-Picked-Right-Abandon-2d-3b8f4e0d84e081fdb857ce1922d41c84?pvs=21), RO-1 · Six Weeks In — Delivery +45d (https://app.notion.com/p/RO-1-Six-Weeks-In-Delivery-45d-523f4e0d84e08228bc4d018db1929acd?pvs=21), RO-4 · Same Spec Or Change — Delivery +110d (https://app.notion.com/p/RO-4-Same-Spec-Or-Change-Delivery-110d-3b8f4e0d84e0816ab89efefde0786781?pvs=21), RO-5 · Auto-Reorder — Delivery +125d (https://app.notion.com/p/RO-5-Auto-Reorder-Delivery-125d-2e2f4e0d84e083c4b5928199b38ec6df?pvs=21), C-4 · Founder Close — Day 18 (https://app.notion.com/p/C-4-Founder-Close-Day-18-47ac077f0f2347038c9eba5727a89a01?pvs=21)"
Button - Primary CTA - Light,Yes,newsletter,Button - Primary CTA,4,"headline, body_text, button_text, button_url","richtext, text, url",2.2,215027397710,,Not started,button_primary_cta_light,newsletter/button_primary_cta_light.module,Light,"PP-7b · UGC Photo Request — PP-7 positive +7d (https://app.notion.com/p/PP-7b-UGC-Photo-Request-PP-7-positive-7d-62af4e0d84e08208885801f37e5ed816?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268152ae92f7f588c3f74c?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268104a69ff6980f774476?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df112681b8b887c451914a98da?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268155ac1ae3a54c3ccdd7?pvs=21), PP-1 · Order Confirmation — Day 0 (https://app.notion.com/p/PP-1-Order-Confirmation-Day-0-3b8f4e0d84e081179f67f8744ceeed1d?pvs=21), PP-2 · Prep Guide — Day 1 (https://app.notion.com/p/PP-2-Prep-Guide-Day-1-f3df4e0d84e08273b127816ad46c0ea5?pvs=21), PP-4 · Shipped + Tracking — Fulfilment event (https://app.notion.com/p/PP-4-Shipped-Tracking-Fulfilment-event-4eaf4e0d84e08205b83181ddeb546a42?pvs=21), PP-5 · Maintenance Calendar — Delivery +7d (https://app.notion.com/p/PP-5-Maintenance-Calendar-Delivery-7d-1b7f4e0d84e082228e268153dea45051?pvs=21), PP-6 · Four Products That Matter — Delivery +21d (https://app.notion.com/p/PP-6-Four-Products-That-Matter-Delivery-21d-3b8f4e0d84e0817583a8f81536369ca6?pvs=21), CR-1 · Your Cart's Still Here — Abandon +4h (https://app.notion.com/p/CR-1-Your-Cart-s-Still-Here-Abandon-4h-7b6f4e0d84e08326bfbc81b9290d1887?pvs=21), CR-2 · Three Questions Answered — Abandon +1d (https://app.notion.com/p/CR-2-Three-Questions-Answered-Abandon-1d-c7bf4e0d84e08378887b0109a11f71aa?pvs=21), CR-3 · Not Sure You Picked Right — Abandon +2d (https://app.notion.com/p/CR-3-Not-Sure-You-Picked-Right-Abandon-2d-3b8f4e0d84e081fdb857ce1922d41c84?pvs=21), CR-4 · Last Note + Free Shipping — Abandon +4d (https://app.notion.com/p/CR-4-Last-Note-Free-Shipping-Abandon-4d-a88f4e0d84e0832b809f01f94bc2059d?pvs=21), WB-2 · What's Changed — Day 7 (https://app.notion.com/p/WB-2-What-s-Changed-Day-7-478f4e0d84e083ee9d2b019b42fff73d?pvs=21), WB-3 · 20% Welcome Back — Day 14 (https://app.notion.com/p/WB-3-20-Welcome-Back-Day-14-9e8f4e0d84e082aca298011a71c69bb8?pvs=21), BR-1 · Base Types Explainer — Browse +1d (https://app.notion.com/p/BR-1-Base-Types-Explainer-Browse-1d-b4df4e0d84e0831c928d01b7afba6e95?pvs=21), RO-2 · Due For Supplies — Delivery +60d (https://app.notion.com/p/RO-2-Due-For-Supplies-Delivery-60d-b70f4e0d84e0827eb83201aafef05b0d?pvs=21), RO-3 · Replacement Window — Delivery +90d (https://app.notion.com/p/RO-3-Replacement-Window-Delivery-90d-d78f4e0d84e08281869101bb3aabd477?pvs=21), RO-4 · Same Spec Or Change — Delivery +110d (https://app.notion.com/p/RO-4-Same-Spec-Or-Change-Delivery-110d-3b8f4e0d84e0816ab89efefde0786781?pvs=21), RO-5 · Auto-Reorder — Delivery +125d (https://app.notion.com/p/RO-5-Auto-Reorder-Delivery-125d-2e2f4e0d84e083c4b5928199b38ec6df?pvs=21), RO-6 · Returning Customer Price — Delivery +140d (https://app.notion.com/p/RO-6-Returning-Customer-Price-Delivery-140d-374f4e0d84e0835b888081b370ca3743?pvs=21), C-3 · Soft Incentive — Day 12 (https://app.notion.com/p/C-3-Soft-Incentive-Day-12-9c53ce6c1f9c4d42a94de96d9b4908a9?pvs=21), C-0 · Consultation Recap — Day 0 (https://app.notion.com/p/C-0-Consultation-Recap-Day-0-7e5150343cdd4111a1e316d127a34ecb?pvs=21), C-2 · Spec Confidence — Day 6 (https://app.notion.com/p/C-2-Spec-Confidence-Day-6-064a486128b64f3e83b4ecc1e80a09eb?pvs=21), C-1 · Objections Answered — Day 2 (https://app.notion.com/p/C-1-Objections-Answered-Day-2-689d7b96ac64430aa06602934811dde7?pvs=21), W-1 · Welcome + Expectations — Signup +0d (https://app.notion.com/p/W-1-Welcome-Expectations-Signup-0d-114a216d79044540bae58cf824c77151?pvs=21), W-5 · Soft Consult Invite — Signup +18d (https://app.notion.com/p/W-5-Soft-Consult-Invite-Signup-18d-cbc584eb023c4555925a4e70f5ca4921?pvs=21), W-3 · Style Inspiration — Signup +7d (https://app.notion.com/p/W-3-Style-Inspiration-Signup-7d-75fc98f28b6b49478ee7cf5e0195690a?pvs=21), W-2 · How Systems Work — Signup +3d (https://app.notion.com/p/W-2-How-Systems-Work-Signup-3d-c5ead34961f44b2bb581e993f572e936?pvs=21), W-4 · Social Proof Wall — Signup +12d (https://app.notion.com/p/W-4-Social-Proof-Wall-Signup-12d-e0560b12f3334f2a9b30190774933653?pvs=21)"
Text - Reassurance - Dark,Yes,core,Text - Reassurance,9,"eyebrow, heading, body_text, point_1_label, point_1_text, point_2_label, point_2_text, point_3_label, point_3_text","richtext, text",2.7,,No HubSpot module ID - not yet uploaded to Design Manager,Not started,text_reassurance_dark,core/text_reassurance_dark.module,Dark,
Footer - Standard - Light,Yes,core,Footer - Standard,6,"company_name, company_address, instagram_url, facebook_url, youtube_url, privacy_url","text, url",1.9,211677069610,,Not started,footer_standard_light,core/footer_standard_light.module,Light,"PP-7 · How's It Going — Delivery +35d (https://app.notion.com/p/PP-7-How-s-It-Going-Delivery-35d-fecf4e0d84e08399bb9001a5a59f3f98?pvs=21), C-0 · Consultation Recap — Day 0 (https://app.notion.com/p/C-0-Consultation-Recap-Day-0-7e5150343cdd4111a1e316d127a34ecb?pvs=21)"
Button - Primary CTA - Dark,Yes,newsletter,Button - Primary CTA,4,"headline, body_text, button_text, button_url","richtext, text, url",2.2,215064426919,,Not started,button_primary_cta_dark,newsletter/button_primary_cta_dark.module,Dark,
Product - Dynamic recommendations - Light,Yes,core,Product - Dynamic recommendations,11,"eyebrow, heading, product_1_image, product_1_title, product_1_text, product_2_image, product_2_title, product_2_text, fallback_body, button_text, button_url","image, richtext, text, url",3.7,,Built 2026-07-31 to close a blueprint gap. Local only - not yet uploaded to Design Manager.,Not started,product_dynamic_recommendations_light,core/product_dynamic_recommendations_light.module,Light,"RO-2 · Due For Supplies — Delivery +60d (https://app.notion.com/p/RO-2-Due-For-Supplies-Delivery-60d-b70f4e0d84e0827eb83201aafef05b0d?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df112681b8b887c451914a98da?pvs=21), PP-6 · Four Products That Matter — Delivery +21d (https://app.notion.com/p/PP-6-Four-Products-That-Matter-Delivery-21d-3b8f4e0d84e0817583a8f81536369ca6?pvs=21), PP-5 · Maintenance Calendar — Delivery +7d (https://app.notion.com/p/PP-5-Maintenance-Calendar-Delivery-7d-1b7f4e0d84e082228e268153dea45051?pvs=21), WB-2 · What's Changed — Day 7 (https://app.notion.com/p/WB-2-What-s-Changed-Day-7-478f4e0d84e083ee9d2b019b42fff73d?pvs=21), W-5 · Soft Consult Invite — Signup +18d (https://app.notion.com/p/W-5-Soft-Consult-Invite-Signup-18d-cbc584eb023c4555925a4e70f5ca4921?pvs=21)"
Testimonial - Light,Yes,launch,Testimonial,13,"eyebrow, heading, testimonial_1_photo, testimonial_1_quote, testimonial_1_attribution, testimonial_2_photo, testimonial_2_quote, testimonial_2_attribution, testimonial_3_photo, testimonial_3_quote, testimonial_3_attribution, link_text, link_url","image, richtext, text, url",4.4,,No HubSpot module ID - not yet uploaded to Design Manager,Not started,testimonial_light,launch/testimonial_light.module,Light,"PP-7b · UGC Photo Request — PP-7 positive +7d (https://app.notion.com/p/PP-7b-UGC-Photo-Request-PP-7-positive-7d-62af4e0d84e08208885801f37e5ed816?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268104a69ff6980f774476?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df112681b8b887c451914a98da?pvs=21), PP-6 · Four Products That Matter — Delivery +21d (https://app.notion.com/p/PP-6-Four-Products-That-Matter-Delivery-21d-3b8f4e0d84e0817583a8f81536369ca6?pvs=21), CR-2 · Three Questions Answered — Abandon +1d (https://app.notion.com/p/CR-2-Three-Questions-Answered-Abandon-1d-c7bf4e0d84e08378887b0109a11f71aa?pvs=21), WB-2 · What's Changed — Day 7 (https://app.notion.com/p/WB-2-What-s-Changed-Day-7-478f4e0d84e083ee9d2b019b42fff73d?pvs=21), WB-3 · 20% Welcome Back — Day 14 (https://app.notion.com/p/WB-3-20-Welcome-Back-Day-14-9e8f4e0d84e082aca298011a71c69bb8?pvs=21), RO-3 · Replacement Window — Delivery +90d (https://app.notion.com/p/RO-3-Replacement-Window-Delivery-90d-d78f4e0d84e08281869101bb3aabd477?pvs=21), RO-6 · Returning Customer Price — Delivery +140d (https://app.notion.com/p/RO-6-Returning-Customer-Price-Delivery-140d-374f4e0d84e0835b888081b370ca3743?pvs=21), C-3 · Soft Incentive — Day 12 (https://app.notion.com/p/C-3-Soft-Incentive-Day-12-9c53ce6c1f9c4d42a94de96d9b4908a9?pvs=21), C-0 · Consultation Recap — Day 0 (https://app.notion.com/p/C-0-Consultation-Recap-Day-0-7e5150343cdd4111a1e316d127a34ecb?pvs=21), C-1 · Objections Answered — Day 2 (https://app.notion.com/p/C-1-Objections-Answered-Day-2-689d7b96ac64430aa06602934811dde7?pvs=21), W-5 · Soft Consult Invite — Signup +18d (https://app.notion.com/p/W-5-Soft-Consult-Invite-Signup-18d-cbc584eb023c4555925a4e70f5ca4921?pvs=21), W-3 · Style Inspiration — Signup +7d (https://app.notion.com/p/W-3-Style-Inspiration-Signup-7d-75fc98f28b6b49478ee7cf5e0195690a?pvs=21), W-4 · Social Proof Wall — Signup +12d (https://app.notion.com/p/W-4-Social-Proof-Wall-Signup-12d-e0560b12f3334f2a9b30190774933653?pvs=21)"
Text - Opening - Light,Yes,launch,Text - Opening,3,"eyebrow, heading, body_text","richtext, text",1.7,,No HubSpot module ID - not yet uploaded to Design Manager,Not started,text_opening_light,launch/text_opening_light.module,Light,"PP-7b · UGC Photo Request — PP-7 positive +7d (https://app.notion.com/p/PP-7b-UGC-Photo-Request-PP-7-positive-7d-62af4e0d84e08208885801f37e5ed816?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268152ae92f7f588c3f74c?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268104a69ff6980f774476?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df112681b8b887c451914a98da?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268155ac1ae3a54c3ccdd7?pvs=21), PP-1 · Order Confirmation — Day 0 (https://app.notion.com/p/PP-1-Order-Confirmation-Day-0-3b8f4e0d84e081179f67f8744ceeed1d?pvs=21), PP-2 · Prep Guide — Day 1 (https://app.notion.com/p/PP-2-Prep-Guide-Day-1-f3df4e0d84e08273b127816ad46c0ea5?pvs=21), PP-4 · Shipped + Tracking — Fulfilment event (https://app.notion.com/p/PP-4-Shipped-Tracking-Fulfilment-event-4eaf4e0d84e08205b83181ddeb546a42?pvs=21), PP-5 · Maintenance Calendar — Delivery +7d (https://app.notion.com/p/PP-5-Maintenance-Calendar-Delivery-7d-1b7f4e0d84e082228e268153dea45051?pvs=21), PP-6 · Four Products That Matter — Delivery +21d (https://app.notion.com/p/PP-6-Four-Products-That-Matter-Delivery-21d-3b8f4e0d84e0817583a8f81536369ca6?pvs=21), WB-2 · What's Changed — Day 7 (https://app.notion.com/p/WB-2-What-s-Changed-Day-7-478f4e0d84e083ee9d2b019b42fff73d?pvs=21), RO-2 · Due For Supplies — Delivery +60d (https://app.notion.com/p/RO-2-Due-For-Supplies-Delivery-60d-b70f4e0d84e0827eb83201aafef05b0d?pvs=21), C-3 · Soft Incentive — Day 12 (https://app.notion.com/p/C-3-Soft-Incentive-Day-12-9c53ce6c1f9c4d42a94de96d9b4908a9?pvs=21), C-0 · Consultation Recap — Day 0 (https://app.notion.com/p/C-0-Consultation-Recap-Day-0-7e5150343cdd4111a1e316d127a34ecb?pvs=21), C-2 · Spec Confidence — Day 6 (https://app.notion.com/p/C-2-Spec-Confidence-Day-6-064a486128b64f3e83b4ecc1e80a09eb?pvs=21), C-1 · Objections Answered — Day 2 (https://app.notion.com/p/C-1-Objections-Answered-Day-2-689d7b96ac64430aa06602934811dde7?pvs=21), W-1 · Welcome + Expectations — Signup +0d (https://app.notion.com/p/W-1-Welcome-Expectations-Signup-0d-114a216d79044540bae58cf824c77151?pvs=21), W-5 · Soft Consult Invite — Signup +18d (https://app.notion.com/p/W-5-Soft-Consult-Invite-Signup-18d-cbc584eb023c4555925a4e70f5ca4921?pvs=21), W-2 · How Systems Work — Signup +3d (https://app.notion.com/p/W-2-How-Systems-Work-Signup-3d-c5ead34961f44b2bb581e993f572e936?pvs=21), W-4 · Social Proof Wall — Signup +12d (https://app.notion.com/p/W-4-Social-Proof-Wall-Signup-12d-e0560b12f3334f2a9b30190774933653?pvs=21)"
Text - Base type guidance - Light,Yes,core,Text - Base type guidance,2,"context, fallback_cta_url","choice, url",4.4,211677241162,,Not started,text_base_type_guidance_light,core/text_base_type_guidance_light.module,Light,"BR-1 · Base Types Explainer — Browse +1d (https://app.notion.com/p/BR-1-Base-Types-Explainer-Browse-1d-b4df4e0d84e0831c928d01b7afba6e95?pvs=21), CR-3 · Not Sure You Picked Right — Abandon +2d (https://app.notion.com/p/CR-3-Not-Sure-You-Picked-Right-Abandon-2d-3b8f4e0d84e081fdb857ce1922d41c84?pvs=21), C-0 · Consultation Recap — Day 0 (https://app.notion.com/p/C-0-Consultation-Recap-Day-0-7e5150343cdd4111a1e316d127a34ecb?pvs=21), C-2 · Spec Confidence — Day 6 (https://app.notion.com/p/C-2-Spec-Confidence-Day-6-064a486128b64f3e83b4ecc1e80a09eb?pvs=21)"
Signal - Promo code - Light,Yes,core,Signal - Promo code,4,"eyebrow, promo_code, promo_detail, body_text","richtext, text",2,,Built 2026-07-31 to close a blueprint gap. Local only - not yet uploaded to Design Manager.,Not started,signal_promo_code_light,core/signal_promo_code_light.module,Light,"RO-6 · Returning Customer Price — Delivery +140d (https://app.notion.com/p/RO-6-Returning-Customer-Price-Delivery-140d-374f4e0d84e0835b888081b370ca3743?pvs=21), WB-3 · 20% Welcome Back — Day 14 (https://app.notion.com/p/WB-3-20-Welcome-Back-Day-14-9e8f4e0d84e082aca298011a71c69bb8?pvs=21), CR-4 · Last Note + Free Shipping — Abandon +4d (https://app.notion.com/p/CR-4-Last-Note-Free-Shipping-Abandon-4d-a88f4e0d84e0832b809f01f94bc2059d?pvs=21), C-3 · Soft Incentive — Day 12 (https://app.notion.com/p/C-3-Soft-Incentive-Day-12-9c53ce6c1f9c4d42a94de96d9b4908a9?pvs=21), W-1 · Welcome + Expectations — Signup +0d (https://app.notion.com/p/W-1-Welcome-Expectations-Signup-0d-114a216d79044540bae58cf824c77151?pvs=21)"
Photo - Feature story - Light,Yes,newsletter,Photo - Feature story,6,"image, eyebrow, headline, body_text, button_text, button_url","image, richtext, text, url",2.6,215026838393,,Not started,photo_feature_story_light,newsletter/photo_feature_story_light.module,Light,"PP-7b · UGC Photo Request — PP-7 positive +7d (https://app.notion.com/p/PP-7b-UGC-Photo-Request-PP-7-positive-7d-62af4e0d84e08208885801f37e5ed816?pvs=21), PP-3 · On The Bench — Day 5 (https://app.notion.com/p/PP-3-On-The-Bench-Day-5-7aaf4e0d84e0820c8d23815a05181cc5?pvs=21), WB-2 · What's Changed — Day 7 (https://app.notion.com/p/WB-2-What-s-Changed-Day-7-478f4e0d84e083ee9d2b019b42fff73d?pvs=21), W-3 · Style Inspiration — Signup +7d (https://app.notion.com/p/W-3-Style-Inspiration-Signup-7d-75fc98f28b6b49478ee7cf5e0195690a?pvs=21)"
Commerce - Viewed product - Light,Yes,core,Commerce - Viewed product,7,"eyebrow, product_image, product_name, product_detail, body_text, button_text, button_url","image, richtext, text, url",2.8,,Built 2026-07-31 to close a blueprint gap. Local only - not yet uploaded to Design Manager.,Not started,commerce_viewed_product_light,core/commerce_viewed_product_light.module,Light,"BR-1 · Base Types Explainer — Browse +1d (https://app.notion.com/p/BR-1-Base-Types-Explainer-Browse-1d-b4df4e0d84e0831c928d01b7afba6e95?pvs=21), CR-3 · Not Sure You Picked Right — Abandon +2d (https://app.notion.com/p/CR-3-Not-Sure-You-Picked-Right-Abandon-2d-3b8f4e0d84e081fdb857ce1922d41c84?pvs=21)"
Commerce - Cart line items - Dark,Yes,core,Commerce - Cart line items,14,"eyebrow, heading, item_1_name, item_1_detail, item_1_price, item_2_name, item_2_detail, item_2_price, item_3_name, item_3_detail, item_3_price, note, button_text, button_url","richtext, text, url",4.2,,Built 2026-07-31 to close a blueprint gap. Local only - not yet uploaded to Design Manager.,Not started,commerce_cart_line_items_dark,core/commerce_cart_line_items_dark.module,Dark,
Review stars - Light,No,proof,Review stars,,,,,,M12 in legacy stacks,Not started,,,Light,"PP-6 · Four Products That Matter — Delivery +21d (https://app.notion.com/p/PP-6-Four-Products-That-Matter-Delivery-21d-3b8f4e0d84e0817583a8f81536369ca6?pvs=21), WB-2 · What's Changed — Day 7 (https://app.notion.com/p/WB-2-What-s-Changed-Day-7-478f4e0d84e083ee9d2b019b42fff73d?pvs=21), WB-3 · 20% Welcome Back — Day 14 (https://app.notion.com/p/WB-3-20-Welcome-Back-Day-14-9e8f4e0d84e082aca298011a71c69bb8?pvs=21), RO-3 · Replacement Window — Delivery +90d (https://app.notion.com/p/RO-3-Replacement-Window-Delivery-90d-d78f4e0d84e08281869101bb3aabd477?pvs=21), RO-6 · Returning Customer Price — Delivery +140d (https://app.notion.com/p/RO-6-Returning-Customer-Price-Delivery-140d-374f4e0d84e0835b888081b370ca3743?pvs=21), W-4 · Social Proof Wall — Signup +12d (https://app.notion.com/p/W-4-Social-Proof-Wall-Signup-12d-e0560b12f3334f2a9b30190774933653?pvs=21)"
Quote - Centered - Light,No,proof,Quote - Centered,,,,,,,Not started,,,Light,
List - Trust strip - Light,No,proof,List - Trust strip,,,,,,,Not started,,,Light,"CR-2 · Three Questions Answered — Abandon +1d (https://app.notion.com/p/CR-2-Three-Questions-Answered-Abandon-1d-c7bf4e0d84e08378887b0109a11f71aa?pvs=21), CR-3 · Not Sure You Picked Right — Abandon +2d (https://app.notion.com/p/CR-3-Not-Sure-You-Picked-Right-Abandon-2d-3b8f4e0d84e081fdb857ce1922d41c84?pvs=21), C-1 · Objections Answered — Day 2 (https://app.notion.com/p/C-1-Objections-Answered-Day-2-689d7b96ac64430aa06602934811dde7?pvs=21)"
Stat bars - Light,No,proof,Stat bars,,,,,,,Not started,,,Light,W-4 · Social Proof Wall — Signup +12d (https://app.notion.com/p/W-4-Social-Proof-Wall-Signup-12d-e0560b12f3334f2a9b30190774933653?pvs=21)
Quote - Accent bar - Light,No,proof,Quote - Accent bar,,,,,,,Not started,,,Light,W-4 · Social Proof Wall — Signup +12d (https://app.notion.com/p/W-4-Social-Proof-Wall-Signup-12d-e0560b12f3334f2a9b30190774933653?pvs=21)
Text - Masthead - Light,No,newsletter,Text - Masthead,,,,,,,Not started,,,Light,"W-1 · Welcome + Expectations — Signup +0d (https://app.notion.com/p/W-1-Welcome-Expectations-Signup-0d-114a216d79044540bae58cf824c77151?pvs=21), W-5 · Soft Consult Invite — Signup +18d (https://app.notion.com/p/W-5-Soft-Consult-Invite-Signup-18d-cbc584eb023c4555925a4e70f5ca4921?pvs=21), W-3 · Style Inspiration — Signup +7d (https://app.notion.com/p/W-3-Style-Inspiration-Signup-7d-75fc98f28b6b49478ee7cf5e0195690a?pvs=21)"
Hero - Photo-led - Light,No,newsletter,Hero - Photo-led,,,,,,,Not started,,,Light,
Column - Image and text - Light,No,newsletter,Column - Image and text,,,,,,,Not started,,,Light,W-3 · Style Inspiration — Signup +7d (https://app.notion.com/p/W-3-Style-Inspiration-Signup-7d-75fc98f28b6b49478ee7cf5e0195690a?pvs=21)
Product - 3-up grid - Light,No,newsletter,Product - 3-up grid,,,,,,,Not started,,,Light,W-3 · Style Inspiration — Signup +7d (https://app.notion.com/p/W-3-Style-Inspiration-Signup-7d-75fc98f28b6b49478ee7cf5e0195690a?pvs=21)
Grid - Collections 4 - Light,No,newsletter,Grid - Collections 4,,,,,,,Not started,,,Light,
FAQ - Light,No,newsletter,FAQ,,,,,,,Not started,,,Light,"C-0 · Consultation Recap — Day 0 (https://app.notion.com/p/C-0-Consultation-Recap-Day-0-7e5150343cdd4111a1e316d127a34ecb?pvs=21), W-1 · Welcome + Expectations — Signup +0d (https://app.notion.com/p/W-1-Welcome-Expectations-Signup-0d-114a216d79044540bae58cf824c77151?pvs=21)"
